Title,Artist,Genre,Release,Rating
Forever! [CD],(hed) p.e.,Pop,07/22/2016,4.2
Digital Vein [CD],David Cook,Pop,09/18/2015,4.8
50 Years of Blonde on Blonde [CD],Old Crow Medicine Show,Country,04/28/2017,4.5
When the Morning Comes [CD],A Great Big World,Pop,11/13/2015,3.9
Alive and Burning [Only @ Best Buy] [Blu-Ray Disc],Black Veil Brides,Pop,07/10/15,4.4
The 20/20 Experience: The Complete Experience [CD] [PA],Justin Timberlake,Pop,09/30/2013,4.4
The Vietnam War: A Film by Ken Burns & Lynn Novick [Original TV Soundtrack] [CD],Original Soundtrack,Pop,09/15/2017,5
Continuum [Revised] [LP] - VINYL,John Mayer,Pop,04/22/2008,4.6
Feel the Burn [CD],Blackburner,Electronic/Dance,04/10/12,
Masseduction [Pink Vinyl] [LP] - VINYL,St. Vincent,Pop,10/13/2017,
MTV Unplugged [LP] - VINYL,Alice in Chains,Pop,08/31/2010,5
Tim McGraw [CD],Tim McGraw,Country,04/20/1993,
Number of the Beast [LP] - VINYL,Iron Maiden,Pop,10/14/2014,5
Street Dogs [Only @ Best Buy] [CD],Widespread Panic,Pop,09/25/2015,4.7
Poison the Parish [Limited Edition Vinyl] [Only @ Best Buy] [Picture Disc],Seether,Pop,05/12/17,4.5
Cowboys From Hell [CD],Pantera,Pop,07/17/1990,5
After the Party [CD],The Menzingers,Pop,02/03/17,3
"Party Tyme Karaoke: Classic Rock, Vol. 1 [CD]",Karaoke,Pop,10/28/2016,5
A Wonderful World [CD],Susan Boyle,Pop,11/04/16,4.4
VÖLKERBALL [CD],Rammstein,Pop,09/18/2007,3.8
Something To Tell You [CD],HAIM,Pop,07/07/17,4.4
Descend into Depravity [CD],Dying Fetus,Pop,09/15/2009,4
Swedish Empire Live [CD & DVD],Sabaton,Pop,10/29/2013,
Playlist: The Very Best of Charley Pride [CD],Charley Pride,Country,03/22/2011,
Blood Sugar Sex Magik [LP] [PA],Red Hot Chili Peppers,Pop,01/10/12,4.6
California [CD],blink-182,Pop,07/15/2016,
The Black Parade/Living with Ghosts  [CD] [PA],My Chemical Romance,Pop,09/23/2016,4.3
A Moon Shaped Pool [CD],Radiohead,Pop,06/17/2016,4.6
One Sided War [CD],Michael Sweet,Pop,08/26/2016,4.6
California [LP] - VINYL,blink-182,Pop,05/19/2017,5
Mad Love [CD] [PA],JoJo,Pop,10/14/2016,4.7
Grand Illusion [LP] - VINYL,Styx,Pop,07/17/2015,
Elephant [CD],The White Stripes,Pop,07/01/08,4.7
Ultimate Disney [CD],Disney,Children's,10/29/2013,5
Midnite Dynamite [CD],Kix,Pop,07/29/2014,5
Exile on Main St. [LP] - VINYL,The Rolling Stones,Pop,05/18/2010,4.6
Dua Lipa [CD],Dua Lipa,Pop,11/17/2017,5
"Party Tyme Karaoke: Tween Hits, Vol. 7 [CD + G]",Various Artists,Pop,05/26/2015,
Yoga Nidra Restorative & Healing Meditation [CD],Jim Prinzo,New Age,01/01/10,
Troubadours on the Rhine: A Trio Performance [LP] - VINYL,Loreena McKennitt,Folk,03/04/16,
Moment by Moment: Music for the Soul [CD],Dyan Garris,New Age,01/24/2006,
Cosmic Hum [CD],Jonathan Goldman,Jazz,06/12/12,
Chen Dren [CD],Lama Tashi,New Age,07/10/15,
Amassakoul [CD],Tinariwen,World,05/09/06,
A Coming of Age [CD],Lucky Soul,New Age,04/19/2010,
Lifegivers [CD],Joanne Shenandoah,New Age,02/10/17,
Joue Sa Musique [CD],Bise de Buse,Avant-Garde,11/28/2006,
Midnight Boulevard [CD],Dancing Fantasy,Electronic/Dance,08/05/08,
Stephen King's Pet Sematary [Original Motion Picture Soundtrack] [LP] - VINYL,Elliot Goldenthal,Soundtracks & Shows,02/10/15,
To Light a Candle: Meditations for Difficult Times [CD],Sarah Bates,New Age,01/01/02,
Attar: Musik Als Parfum [CD],Attar,New Age,12/01/94,
Lovers [CD],Paul Avgerinos,New Age,10/16/2012,
A Time For Healing [CD],Mike Wall,New Age,02/20/2012,
Radiance [CD],Acappella,Gospel & Christian,04/18/2006,
Elements [CD & DVD],Ludovico Einaudi,New Age,12/09/16,
Lost Chapter [CD],Amie Ridley,New Age,08/26/2008,
Winter Poem [CD],Secret Garden,New Age,11/08/11,
Silbermond [CD],Dennis Hart,New Age,10/21/2008,
Feen Musik [CD],Various Artists,New Age,04/01/14,
Live on Earth...For a Limited Time Only [CD],Krishna Das,World,10/04/05,
The Thicket [CD],David Grubbs,New Age,10/27/1998,
Painted Echoes [CD],Tim Glemser,New Age,12/20/2011,
Alive & Well: Recorded in Paris [CD],Soft Machine,Jazz,07/31/2012,
Canyonspeak [CD],Douglas Spotted Eagle,New Age,01/04/00,
Songs For the Inner Lover [CD],Miten,New Age,10/28/2014,
Imaginary Piano [CD],Gary Paul Bryant,Jazz,02/15/2005,
Offene Türen [CD],Hans-Joachim Roedelius,Electronic/Dance,10/11/12,
Skye Boat [CD],Anwyn & George Leverett,World,06/19/2007,
Original & Traditional Chants by Kiva [CD],Kiva,World,09/18/2006,
Trance [CD],Gabrielle Roth & the Mirrors,New Age,05/09/94,
Super Hits [CD],Yanni,New Age,08/02/07,
World Chill [CD],Various Artists,New Age,08/25/2017,
Raphael 50 Anos DeSpues [Bonus DVD] [CD],Raphael,Latin,09/13/2011,
Solo Piano [CD],Dan Chadburn,New Age,01/02/01,
Reflections [CD],Chris Michell,New Age,08/12/08,
Healing Songs of Earth & Sky [CD],Steven Halpern,New Age,08/03/04,
The Sounds of Nature: Equatorial Forest [CD],Various Artists,New Age,04/04/03,
Desert Journey [CD],Sherry Finzer,New Age,01/21/2014,
Twenty Years of Discovery [CD],Nicholas Gunn,New Age,10/08/13,
Thirty-One Nights [Enhanced CD],Nicholas Gunn,New Age,09/11/12,
Finesse [CD],Glenn Jones,R&B Soul,06/24/2016,
Midnight Clear [LP] - VINYL,Andreas Vollenweider,New Age,09/09/14,
Reiki Ahora [CD],Alex Antonelli,New Age,06/05/00,
Poems of Thunder [CD],Yim Hok-Man,World,07/18/2000,
Impressions Series: Coffee Heaven [CD],Various Artists,New Age,11/14/2006,
"Jazz Chill, Vol. 3 [CD]",Berk & the Virtual Band,Electronic/Dance,03/13/2012,
All the Right Reasons [LP] - VINYL,Nickelback,Pop,07/07/17,4.7
Spreading the Disease [CD],Anthrax,Pop,06/15/1990,4.8
Into the Woods [Original Soundtrack] [Deluxe Edition] [CD],Original Soundtrack,Classical,12/15/2014,4.6
May Death Never Stop You [LP] - VINYL,My Chemical Romance,Pop,08/14/2015,
Make It Big [CD],Wham!,Pop,01/22/1985,4.8
Vulgar Display of Power [CD] [PA],Pantera,Pop,02/25/1992,4.7
Among the Living [CD],Anthrax,Pop,06/15/1990,4.8
Parallel Lines [LP] - VINYL,Blondie,Pop,12/16/2016,4.5
Truth [Bonus Tracks] [CD],Jeff Beck,Blues,10/10/06,5
The Best of Tom Jones [Polygram] [CD],Tom Jones,Pop,06/16/1998,3
Blood Mountain [Picture Disc],Mastodon,Pop,09/29/2017,5
Live in Kastoria [CD],Pavlo,World,03/18/2016,3
Down Below [CD],Tribulation,Pop,01/26/2018,
Dance Latin #1 Hits [CD],Various Artists,Latin,04/22/2016,5
Full Moon Fever [2017 LP] [180 Gram Vinyl] [LP] - VINYL,Tom Petty,Pop,06/02/17,5
Mirage [Expanded Edition] [CD],Fleetwood Mac,Pop,09/23/2016,4.6
Now That's What I Call Music! 57 [CD],Various Artists,Pop,02/05/16,4.5
Best of SWV [CD],SWV,Pop,11/06/01,4
Scars & Stories [CD],The Fray,Pop,05/05/17,3.2
Goodbye Yellow Brick Road [LP] - VINYL,Elton John,Pop,04/08/14,5
Hits of the 60s [Sonoma] [CD],Various Artists,Pop,09/25/2012,3.8
Good Times! [CD],The Monkees,Pop,05/27/2016,4.6
Twin Peaks [CD],Mountain,Pop,03/01/08,5
High Rise [CD],Chester Bennington,Pop,10/08/13,4
Documentary 2/2.5  [Collector's Edition] [CD] [PA],The Game,Pop,01/22/2016,4.7
Not Another Teen Movie [CD],Original Soundtrack,Soundtracks & Shows,12/04/01,
 Live at the Isle of Wight Festival 1970 [CD & Blu-Ray],Doors,Pop,02/23/2018,5
Icon [CD],The Beach Boys,Pop,03/19/2013,4.7
Nervous System [CD],Julia Michaels,Pop,10/20/2017,5
I Am Human [CD],Escape the Fate,Pop,03/30/2018,
Theory of a Deadman [CD] [PA],Theory of a Deadman,Pop,09/17/2002,5
Help! [DVD],,,11/06/07,4.9
Greatest Hits [CD],Lenny Kravitz,Pop,10/24/2000,4.7
The Best of James Taylor [2003] [CD],James Taylor,Pop,04/08/03,4.6
New Traditionalists [2010 Bonus Tracks] [CD] [PA],Devo,Pop,05/18/2010,5
Playlist: The Very Best of the Doobie Brothers [CD],The Doobie Brothers,R&B Soul,01/29/2013,4.6
13 Voices [CD],Sum 41,Pop,10/07/16,4.3
"Greatest Hits, Vol. 2 [LP] - VINYL",Journey,Pop,11/01/11,5
Break the Cycle [CD] [PA],Staind,Pop,05/22/2001,4.8
Babel [LP] - VINYL,Mumford & Sons,Pop,09/25/2012,5
For Lovers Only [Bonus Track] [CD],The Temptations,R&B Soul,01/15/2002,5
A Night at the Opera [CD],Queen,Pop,07/26/2011,5
In Time: The Best of R.E.M. 1988-2003 [CD],R.E.M.,Pop,07/01/16,4.3
Trainspotting [Original Soundtrack] [LP] - VINYL,Original Soundtrack,Soundtracks & Shows,11/11/16,3.8
Viva la Vida or Death and All His Friends [LP] - VINYL,Coldplay,Pop,06/17/2008,5
The Essential Kenny Loggins [CD],Kenny Loggins,Pop,11/19/2002,5
From Out of the Skies [CD],Bulletboys,Pop,03/23/2018,
Feng Shui Harmony [CD],Di Donna & Oliva,New Age,10/24/2011,
Jaya Bhagavan [CD],Tina Malia,New Age,01/01/05,
From Pale Hands to Weary Skies [CD],Darshan Ambient,New Age,08/12/08,
Sacred Chants of Buddha [CD],Craig Pruess,New Age,08/10/12,
Attuning to Oneness: The Harmonic Ascension [CD],Paradiso & Rasamayi,New Age,03/05/13,
Celestial Plea [CD],Gene Newton,Electronic/Dance,10/08/02,
Destination Infinity [CD],Hemisphere,New Age,02/10/09,
Chakra Clearing & Healing Sound [CD],Terry Oldfield,New Age,05/12/09,
Guided Meditation 4 Children: I Am The Breeze [CD],Nancy Williams,Children's,05/16/2012,
Spiritus: Breath of Life [CD],Lorellei,New Age,05/21/1996,
"Guitar Music for Small Rooms, Vol. 3 [CD]",Various Artists,New Age,03/16/2004,
Simply Meditation [10 CD] [CD],Various Artists,New Age,03/05/13,
Klassix for Kidz [CD],Various Artists,New Age,01/31/1995,
An Enchanted Evening [Video] [DVD],Kitaro,New Age,03/13/2012,
Blue Maze [CD],Mars Lasar,New Age,01/01/00,
Blue Sun [CD],Mark Isham,New Age,10/03/95,
Beyond Boundaries: Guitar Solos [CD],Michael Hedges,New Age,09/11/01,
Within You Without You [CD],Gary Stroutsos,New Age,06/30/2009,
70's & Sunny: Live at 54 Below [CD],Andrea McArdle,New Age,04/09/13,
Drift Away: Music for Relaxation [CD],Various Artists,New Age,04/24/2012,
Celtic Magic [CD],Cynthia Lynn Douglass,World,12/01/03,
Earth Sutras: Walk Gently on the Earth [CD],Shastro,New Age,06/15/2004,
Very Best of Sylvie Vartan [CD],Sylvie Vartan,New Age,04/26/2005,
Soul Breeze [CD],Various Artists,New Age,06/05/12,
Aloha Guitar [CD],Jim Earp,New Age,01/15/2013,
Yoga Balance [CD],Saphira Devi,New Age,06/16/2015,
Crystal Keys [CD],Lia Scallon,New Age,07/12/11,
"Maarifa Street: Magic Realism, Vol. 2 [CD]",Jon Hassell,Jazz,05/17/2005,
Aerial Boundaries [LP] - VINYL,Michael Hedges,Folk,07/24/2015,
In a Room [CD],Roger Eno,Electronic/Dance,04/23/2012,
Heart of Gratitude [CD],Kevin Toney,New Age,08/07/12,
Relaxation and Stress Management Program: Autogenic Relaxation [CD],"Edward A. Charlesworth, Ph.D.",New Age,12/22/2009,
Playlist: The Very Best of Steve Perry [CD],Steve Perry,Pop,01/06/09,4
Icon [CD],Carpenters,Pop,12/24/2014,4.8
Lullaby Renditions of Fall Out Boy [CD],Rockabye Baby!,Children's,12/04/15,
Magical Mystery Tour [Reissued] [Remastered] [180-gram Vinyl] [LP] - VINYL,The Beatles,Pop,11/13/2012,5
Sehnsucht [Germany] [CD],Rammstein,Pop,01/06/04,5
Blown Away [CD],Carrie Underwood,Country,05/01/12,4.9
The Very Best of the Righteous Brothers: Unchained Melody [CD],The Righteous Brothers,Pop,12/29/1990,4.4
Songs of Experience [Extra Deluxe Edition] [2 LP/1 CD] [LP] - VINYL,U2,Pop,12/01/17,
No Ordinary World [CD],Joe Cocker,Pop,08/22/2000,
Marc Cohn [CD],Marc Cohn,Pop,02/12/91,
Search for Everything [LP] - VINYL,John Mayer,Pop,05/26/2017,4.5
American Idiot [180 Gram Vinyl] [LP] [PA],Green Day,Pop,11/03/09,4.6
 Bite! [CD],Animal Drive,Pop,02/23/2018,5
Pleasure [CD],Feist,Pop,04/28/2017,4
Fifty Big Ones: Greatest Hits [CD],The Beach Boys,Pop,10/09/12,4.7
"Party Tyme Karaoke: Tween Hits, Vol. 9 [CD + G]",Various Artists,Pop,04/08/16,5
This Is Gonna Hurt [CD],Sixx:A.M.,Pop,05/03/11,4.9
Pack Up the Plantation: Live! [CD],Tom Petty,Pop,10/25/1990,4
Nilsson Schmilsson [LP] - VINYL,Harry Nilsson,Pop,06/30/2017,
No Grave But the Sea [CD],Alestorm,Pop,05/26/2017,
Tapestry: Live in Hyde Park [CD & DVD],Carole King,Pop,09/15/2017,5
Black Holes & Revelations [CD],Muse,Pop,07/11/06,4.6
The  Blessed Unrest [CD],Sara Bareilles,Pop,07/16/2013,4.7
40oz to Freedom [LP] - VINYL,Sublime,Pop,06/24/2016,5
Essential Willie Nelson [Bonus Tracks] [CD],Willie Nelson,Country,10/16/2015,5
Music From My Heart [CD],Margie Balter,New Age,08/14/2007,
White Winds [LP] - VINYL,Andreas Vollenweider,New Age,09/02/14,
Symphony [CD],Sarah Brightman,Vocal,01/29/2008,4.8
"Motown Legends, Vol. 1 [CD]",Various Artists,R&B Soul,09/01/95,5
Unknown Road [LP] - VINYL,Pennywise,Pop,08/30/1993,5
Invasion of Your Privacy [CD],Ratt,Pop,09/18/2015,4.5
Las  5 Llaves del Alma [CD],Silvia Arazi,New Age,03/29/2011,
Piano Christmas [CD],Peter Kater,New Age,08/25/2009,
Singer Songwriters [CD],Various Artists,Vocal,01/23/2001,
 Under the Iron Sea [LP] - VINYL,Keane,Pop,03/16/2018,
Dystopia [CD],Megadeth,Pop,01/22/2016,4.6
Binaural [LP] - VINYL,Pearl Jam,Pop,11/10/17,4.7
"Party Tyme Karaoke: Billboard Top 40 Karaoke, Vol. 5 [CD]",Party Tyme Karaoke,Pop,10/21/2016,4.7
"Boats, Beaches, Bars & Ballads [CD]",Jimmy Buffett,Pop,05/19/1992,5
Bauch Beine Po Fur Unbeweglich [CD],Canda,New Age,12/02/14,
Eternity [CD],Gene Newton,Electronic/Dance,10/04/02,
Trouble [CD],Ray LaMontagne,Folk,09/14/2004,
Made in Milan [Video] [Blu-Ray Disc],,,03/23/2018,
Gold [CD],Tears for Fears,Pop,08/08/06,
The Fatboy Slim Collection [CD],Various Artists,Pop,06/02/15,
 There's a Riot Going On [CD],Yo La Tengo,Pop,03/16/2018,
Gossip in the Grain [CD],Ray LaMontagne,Pop,10/14/2008,5
Shake It Up [Expanded Edition] [CD],The Cars,Pop,03/30/2018,
Breathe in the Water [CD],KYNG,Pop,10/07/16,4.6
The Definitive Collection [CD],Patsy Cline,Country,06/22/2004,4.8
Departure [Bonus Tracks] [CD],Journey,Pop,04/29/2008,4
Out of the Cellar [CD],Ratt,Pop,11/11/08,4.8
"Prevail, Vol. 1 [CD]",Kobra and the Lotus,Pop,05/12/17,5
Hands All Over [Bonus Track] [CD],Maroon 5,Pop,08/01/11,4.6
A Meeting by the River [LP] - VINYL,Ry Cooder,World,05/12/09,
"Der Traumzauberbaum 2: Agga Knack, Die Wilde Traum [Bonus Track] [CD]",Various Artists,New Age,05/10/04,
Momenti Felici [LP] - VINYL,Hans-Joachim Roedelius,Electronic/Dance,03/15/2011,
Brainwave Suite [CD],Jeffrey D. Thompson,New Age,07/29/2003,
The Best of Aeoliah [CD],Aeoliah,New Age,01/25/2005,
Open To the Inside [CD],Beverly Graham,New Age,11/18/2008,
Kundalini: Rise of the Soul [CD],Thomas Barquee,New Age,11/06/15,
Into the Infinite [CD],Chad Kettering,Electronic/Dance,03/18/2008,
Vajra [CD],David Parsons,New Age,12/06/07,
Live at Christ Church Cathedral [LP] - VINYL,Clannad,New Age,11/13/2015,
Singing Bowls of Shangri-La: Sacred Sonic Therapy for Meditation and Healing [CD],Thea Surasu,New Age,10/06/98,
The Animal Spirits [CD],James Holden,Electronic/Dance,11/03/17,
Nouveau Lounge [CD],Various Artists,Easy Listening,08/28/2015,
The Flight [CD],Gustaff Bensungu,New Age,05/12/09,
Sacred Memories of the Future [CD],Cybertribe,Electronic/Dance,10/16/2012,
"Nature & Relaxation: Le Chant des Oiseaux, Vol. 2 [Digital Download]",Dominique Fauchard,New Age,04/06/10,
Selbstportrait [CD],Hans-Joachim Roedelius,Electronic/Dance,01/18/2011,
Orchid [CD],Phil Sheeran,New Age,11/30/2004,
Naturgeräusche Zur Entspannung: Meeresrauschen Mit Musik [CD],Rettenmaier,New Age,07/01/13,
Guitars [LP] - VINYL,Mike Oldfield,New Age,09/30/2016,
Simply New Age Moods [CD],Various Artists,New Age,11/15/2005,
"New Frequencies, Vol. 1 [CD] [PA]",Robert Schroeder,New Age,02/05/10,
The Essential [CD],Kitaro,New Age,01/30/2007,
Learning to Fly [CD],Neil Tatar,New Age,11/10/17,
Pearl Jam [CD],Pearl Jam,Pop,05/02/06,4.3
20th Century Masters:The Millennium Collection: Best of The Carpenters [CD],Carpenters,Pop,09/24/2002,4
Black Sunday [LP] - VINYL,Cypress Hill,Rap & Hip-Hop,04/20/2013,
Rockin'/Flavours [CD],The Guess Who,Pop,03/30/2004,5
Elv1s: 30 #1 Hits [LP] - VINYL,Elvis Presley,Pop,10/09/15,5
The Shadow Theory [CD],Kamelot,Pop,04/06/18,
Horses [LP] - VINYL,Patti Smith,Pop,05/22/2012,
(Whats the Story) Morning Glory [Remastered] [LP] - VINYL,Oasis,Pop,09/30/2014,4.9
Love Deluxe [LP] - VINYL,Sade,R&B Soul,07/27/2010,4
Now That's What I Call Music! 55 [CD],Various Artists,Pop,08/07/15,4.5
Somewhere in the Stratosphere [CD & DVD],Shinedown,Pop,05/03/11,4.8
Core [25th Anniversary Remaster] [CD],Stone Temple Pilots,Pop,09/29/2017,
Megalithic Symphony [LP] - VINYL,AWOLNATION,Pop,12/06/11,5
"At Night, Alone. [CD] [PA]",Mike Posner,Pop,05/06/16,4.7
Hot Potatoes! The Best of the Wiggles [CD],The Wiggles,Children's,09/09/16,5
Rubber Soul [Mono Vinyl] [LP] - VINYL,The Beatles,Pop,09/09/14,5
"Party Tyme Karaoke: Super Hits, Vol. 25 [CD + G]",Various Artists,Pop,09/18/2015,4.5
Dance Again...The Hits [CD],Jennifer Lopez,Pop,07/24/2012,5
Back for the Attack [CD],Dokken,Pop,04/21/2015,5
"So Far, So Good...So What! [Bonus Tracks] [CD] [PA]",Megadeth,Pop,07/27/2004,5
 NO ONE EVER REALLY DIES [LP] [PA],N.E.R.D,Rap & Hip-Hop,03/09/18,
Personal Christmas Collection [CD],Andy Williams,Vocal,07/01/10,4.8
"Party Tyme Karaoke: Super Hits, Vol. 24 [CD + G]",Various Artists,Pop,05/26/2015,4.3
 Decades [CD],Nightwish,Pop,03/09/18,
One Night Only: The Greatest Hits [LP] - VINYL,Elton John,Pop,10/20/2017,
The Best of the Pretenders/Break Up the Concrete [CD],Pretenders,Pop,06/09/09,4.8
Nebraska [CD],Bruce Springsteen,Folk,06/16/2015,5
The Very Best of Adam & the Ants: Stand & Deliver [CD],Adam and the Ants,Pop,07/06/99,4.7
Hellyeah [CD] [PA],Hellyeah,Pop,04/10/07,4.8
Stories for Monday [CD],The Summer Set,Pop,04/01/16,4.9
In a World Like This [CD],Backstreet Boys,Pop,07/30/2013,4.8
Heavier Things [LP] - VINYL,John Mayer,Pop,10/09/15,
"Greatest Hits, Vol. 3 (1979-1987) [CD]",Elton John,Pop,05/04/12,5
"Motown Legends, Vol.3 [CD]",Various Artists,R&B Soul,04/16/1995,5
Ace Frehley [LP] - VINYL,Ace Frehley,Pop,09/23/2014,5
Lace & Whiskey [CD],Alice Cooper,Pop,10/20/1998,5
The New Album [CD],Thirty Seconds to Mars,Pop,04/06/18,
One Day Remains [CD],Alter Bridge,Pop,04/01/12,4.6
Three Cheers for Sweet Revenge [LP] - VINYL,My Chemical Romance,Pop,09/29/2017,
Find a Light [CD],Blackberry Smoke,Pop,04/06/18,
The  Boys of Zummer Tour: Live in Chicago [DVD],Fall Out Boy,Pop,10/21/2016,4.1
Live at 25 [CD],Huey Lewis & the News,Pop,05/17/2005,5
Greatest Hits [CD],Mac Davis,Country,10/25/1990,5
LANY [LP] - VINYL,LANY,Pop,06/30/2017,5
Contraband: The Best of Men at Work [CD],Men at Work,Pop,07/26/2004,5
101 60's Hits [Spectrum] [CD],Various Artists,Pop,06/02/17,4.7
American Graffiti [LP] - VINYL,Original Soundtrack,Soundtracks & Shows,06/09/15,5
Sleep Solutions [CD],Roberta Shapiro,New Age,08/22/2007,
The Witch's Garden [CD],Abandoned Toys,New Age,08/28/2007,
Alpine Retreat [CD],Various Artists,New Age,09/08/94,
Angelic Reiki [CD],Niall & Juliana,New Age,05/15/2012,
Reiki Now [CD],Various Artists,New Age,06/04/13,
The Weaving [CD],Denean,New Age,03/21/2009,
Covenant [CD],Joanne Shenandoah,New Age,11/04/03,
Seventh One [CD],Dean Magraw,Folk,03/17/1998,
Francisco de Assis [Brazil] [CD],Marcus Viana,New Age,11/30/1994,
Heavenly [CD],Eterna,New Age,08/16/2011,
"Greatest Love Songs, Vol. 1 [CD]",Denise B,New Age,09/19/2006,
Magdalene's Gift [CD],Ani Williams,New Age,02/13/2007,
Kouun Wo Yobikomu Synchronicity Music [CD],Various Artists,New Age,10/14/2016,
Ylang [CD],Robert Rich,New Age,03/01/10,
Afterglow [CD],Michael Hoppé,New Age,06/22/1999,
Wow Worship: Purple [CD],Various Artists,Gospel & Christian,03/02/10,
Christmas From the Heart [Dance Heart] [CD],Various Artists,New Age,10/21/2016,
Soul in Wonder [CD],Miten & Premal,World,03/16/2010,
Songhai Blues: Homage To Ali Farka Touré [CD],Samba Touré,World,08/25/2009,
Light Within: Lullabies for the Heart [CD],Ollin Lotten,Children's,01/01/05,
Brainwave Nature Suite: Meditative Stream [CD],Jeffrey D. Thompson,New Age,02/12/08,
Flight of Angels [CD],Anthony Miles,Easy Listening,08/14/2012,
Best of Nature [CD],Various Artists,New Age,05/05/17,
Peaceful Music for Sleep [CD],Jeffrey D. Thompson,New Age,06/29/2004,
"Celtic Twilight, Vol. 2 [CD]",Various Artists,World,08/29/1995,
Ancient City: Piano Collection [CD],Various Artists,New Age,07/27/1999,
Platinum Collection [CD],Franco Battiato,New Age,11/19/2004,
Spirit of Polynesia [CD],Various Artists,World,12/12/95,
Enamor [CD],Armik,New Age,01/27/2017,
Tranquillity [Music Video Distribution] [CD],Various Artists,New Age,04/24/2012,
Christmas: Sweet Memories [CD],Mannheim Steamroller,Holiday,11/25/2008,
Secret Spaces [CD],Back to Earth,World,03/10/09,
Idylls [Bonus Tracks] [CD],Love Spirals Downwards,New Age,11/20/2007,
Keepers of the Dream [CD],Kevin Locke,New Age,04/29/1996,
Crystal Christmas [Noel de Cristal] [CD],Gaudry,New Age,02/10/09,
Lullabies [CD],Hennie Bekker,Children's,03/13/2012,
Tales of Rock N Roll [CD],Michael Schenker,New Age,04/21/2006,
"The Time of Bells, Vol. 4 [CD]",Steven Feld,New Age,06/22/2007,
Yoga & Relaxation [CD],Sorma,New Age,08/28/2007,
Earth Moving [CD],Mike Oldfield,New Age,07/31/2000,
Bamboo [CD],P.C. Davidoff,New Age,02/01/07,
Farewell to Lough Neaghe: Traditional Harp Music of Britain and Ireland [CD],Bonnie Shaljean,World,12/12/95,
Attracting Genuine Love [CD],Gay Hendricks,New Age,04/12/05,
Raphael Maldito Raphael [CD],Raphael,Latin,12/04/01,
